1 1 1723030213
1 1 1724667952
1 1 1554855505
1 1 1783250274
1 1 1858068513
1 1 1663947062
1 1 1673708417
1 1 1790660183
1 1 1780364474
1 1 1963326096
1 10 415185658
1 10 380552979
1 10 418912625
1 10 491809091
1 10 508921695
1 10 504766785
1 10 458438577
1 10 478456449
1 10 441573002
1 10 446224973
1 480000 1238789779
1 480000 1197721962
1 480000 1149088855
1 480000 1255304751
1 480000 1201304050
1 480000 1250102623
1 480000 1107792267
1 480000 1183666458
1 480000 1298887771
1 480000 1114803153
4 1 641029946
4 1 587995064
4 1 664521305
4 1 661120276
4 1 593489706
4 1 610684656
4 1 646404112
4 1 617317212
4 1 644317717
4 1 657835668
4 10 391308179
4 10 438009311
4 10 425577928
4 10 411047680
4 10 370848738
4 10 432045807
4 10 359605516
4 10 390749047
4 10 361488038
4 10 448210624
4 120000 1185769702
4 120000 1066105427
4 120000 1161674918
4 120000 1229556197
4 120000 1132712297
4 120000 1169191134
4 120000 1135693721
4 120000 1152509536
4 120000 1050939985
4 120000 1099493364
8 1 560873493
8 1 580133443
8 1 588310189
8 1 624694979
8 1 572634221
8 1 544303191
8 1 527225472
8 1 635227754
8 1 598060215
8 1 641215624
8 10 415163351
8 10 496242049
8 10 489863733
8 10 479373044
8 10 431930077
8 10 459963002
8 10 422164141
8 10 405076451
8 10 430734813
8 10 498111238
8 60000 1094541623
8 60000 1218200618
8 60000 1120336962
8 60000 1202832292
8 60000 923980217
8 60000 869357638
8 60000 883382632
8 60000 923503297
8 60000 1023508380
8 60000 1174441081
